Team A,Team B,Tourney Qualifying games*,divname,Score A,Score B,Team A Wins,Index A,Index B,Div A,Div B
AHOC,Gothrilla,-99,4/3 Div 1,15,12,True,0,1,4/3 Div 1,4/3 Div 1
AHOC,BBN,-99,4/3 Div 1,15,1,True,0,9,4/3 Div 1,4/3 Div 1
AHOC,Stonecutters,-99,4/3 Div 1,15,8,True,0,41,4/3 Div 1,5/2 Div 1
AHOC,FlowChart,-99,4/3 Div 1,15,10,True,0,2,4/3 Div 1,4/3 Div 1
AHOC,Lady and the BAMF,-99,4/3 Div 1,15,5,True,0,28,4/3 Div 1,4/3 Div 2
AHOC,Swingers,-99,4/3 Div 1,15,11,True,0,5,4/3 Div 1,4/3 Div 1
AHOC,Upstream,-99,4/3 Div 1,15,10,True,0,10,4/3 Div 1,4/3 Div 2
AHOC,Tubbs,-99,4/3 Div 1,15,6,True,0,29,4/3 Div 1,4/3 Div 2
AHOC,Stonecutters,-99,4/3 Div 1,15,10,True,0,41,4/3 Div 1,5/2 Div 1
AHOC,Zerg Rush!,-99,4/3 Div 1,15,8,True,0,4,4/3 Div 1,4/3 Div 1
AHOC,Turtle Boy,-99,4/3 Div 1,15,6,True,0,7,4/3 Div 1,4/3 Div 1
AHOC,"Live Poultry, Fresh Killed (LPFK)",-99,4/3 Div 1,15,7,True,0,8,4/3 Div 1,4/3 Div 1
AHOC,TuneSquad,-99,4/3 Div 1,15,4,True,0,6,4/3 Div 1,4/3 Div 1
AHOC,JuJu Hex,-99,4/3 Div 1,15,12,True,0,43,4/3 Div 1,5/2 Div 2
Gothrilla,AHOC,-99,4/3 Div 1,12,15,False,1,0,4/3 Div 1,4/3 Div 1
Gothrilla,Swingers,-99,4/3 Div 1,9,13,False,1,5,4/3 Div 1,4/3 Div 1
Gothrilla,FlowChart,-99,4/3 Div 1,15,7,True,1,2,4/3 Div 1,4/3 Div 1
Gothrilla,Hucky McThrowandcatch,-99,4/3 Div 1,14,10,True,1,50,4/3 Div 1,5/2 Div 2
Gothrilla,SnakeCountryBromance,-99,4/3 Div 1,10,15,False,1,40,4/3 Div 1,5/2 Div 1
Gothrilla,Zerg Rush!,-99,4/3 Div 1,11,15,False,1,4,4/3 Div 1,4/3 Div 1
Gothrilla,GrassBurner,-99,4/3 Div 1,15,13,True,1,3,4/3 Div 1,4/3 Div 1
Gothrilla,Turtle Boy,-99,4/3 Div 1,13,12,True,1,7,4/3 Div 1,4/3 Div 1
Gothrilla,"Live Poultry, Fresh Killed (LPFK)",-99,4/3 Div 1,15,11,True,1,8,4/3 Div 1,4/3 Div 1
Gothrilla,Upstream,-99,4/3 Div 1,15,12,True,1,10,4/3 Div 1,4/3 Div 2
Gothrilla,"Live Poultry, Fresh Killed (LPFK)",-99,4/3 Div 1,15,8,True,1,8,4/3 Div 1,4/3 Div 1
Gothrilla,TuneSquad,-99,4/3 Div 1,15,7,True,1,6,4/3 Div 1,4/3 Div 1
Gothrilla,BBN,-99,4/3 Div 1,15,10,True,1,9,4/3 Div 1,4/3 Div 1
Gothrilla,Swingers,-99,4/3 Div 1,13,6,True,1,5,4/3 Div 1,4/3 Div 1
Gothrilla,Zerg Rush!,-99,4/3 Div 1,16,14,True,1,4,4/3 Div 1,4/3 Div 1
Gothrilla,GrassBurner,-99,4/3 Div 1,0,0,False,1,3,4/3 Div 1,4/3 Div 1
Gothrilla,Shake and Bake,-99,4/3 Div 1,15,3,True,1,42,4/3 Div 1,5/2 Div 1
FlowChart,Gothrilla,-99,4/3 Div 1,7,15,False,2,1,4/3 Div 1,4/3 Div 1
FlowChart,AHOC,-99,4/3 Div 1,10,15,False,2,0,4/3 Div 1,4/3 Div 1
FlowChart,GrassBurner,-99,4/3 Div 1,15,12,True,2,3,4/3 Div 1,4/3 Div 1
FlowChart,Dominion,-99,4/3 Div 1,15,9,True,2,23,4/3 Div 1,4/3 Div 2
FlowChart,GrassBurner,-99,4/3 Div 1,15,10,True,2,3,4/3 Div 1,4/3 Div 1
FlowChart,Rogues' Gallery,-99,4/3 Div 1,15,6,True,2,24,4/3 Div 1,4/3 Div 2
FlowChart,Moose Lightning,-99,4/3 Div 1,15,10,True,2,27,4/3 Div 1,4/3 Div 2
FlowChart,Swingers,-99,4/3 Div 1,15,13,True,2,5,4/3 Div 1,4/3 Div 1
FlowChart,JHOP,-99,4/3 Div 1,15,12,True,2,17,4/3 Div 1,4/3 Div 2
FlowChart,TuneSquad,-99,4/3 Div 1,13,12,True,2,6,4/3 Div 1,4/3 Div 1
FlowChart,Turtle Boy,-99,4/3 Div 1,15,13,True,2,7,4/3 Div 1,4/3 Div 1
FlowChart,"Live Poultry, Fresh Killed (LPFK)",-99,4/3 Div 1,14,9,True,2,8,4/3 Div 1,4/3 Div 1
FlowChart,Upstream,-99,4/3 Div 1,9,15,False,2,10,4/3 Div 1,4/3 Div 2
FlowChart,Fetch,-99,4/3 Div 1,15,9,True,2,21,4/3 Div 1,4/3 Div 2
FlowChart,BBN,-99,4/3 Div 1,15,12,True,2,9,4/3 Div 1,4/3 Div 1
